ID Loja;Nome da Loja;Quantidade Colaboradores;Tipo;id Localidade;Gerente Loja;Documento Gerente
1;Loja Seattle No.1;17;Fisica;1;Gonçalves, Joao;666418406
2;Loja Seattle No.2;25;Fisica;1;Pinheiro, Fernanda;782269727
3;Loja Kennewick;26;Fisica;1;Alves, Rodrigo;566476645
4;Loja Bellevue;19;Fisica;1;Costa, Raissa;598832615
5;Loja Redmond;33;Fisica;1;Monteiro, Felipe;200191505
6;Loja Yakima;47;Fisica;1;Lobo, Mariana;258070696
7;Loja Granger;22;Fisica;1;Dantas, Vinicius;137257008
8;Loja Sunnyside;17;Fisica;1;Koch, Thomaz;148283535
9;Loja Toppenish;25;Fisica;1;Guimaraes, Adrielle;757556625
10;Loja Wapato;25;Fisica;1;Sobanski, Mariana;772151648
11;Loja Cle Elum;26;Fisica;1;Machado, Livia;438015135
13;Loja Snoqualmie;33;Fisica;1;Oliva, Bruna;458643508
14;Loja Fall City;47;Fisica;1;Pallotta, Andre;293551216
15;Loja Renton;22;Fisica;1;Quintana, Victoria;150585293
16;Loja Everett;17;Fisica;1;Wancelotti, Luiz;682882258
17;Loja Spokane;25;Fisica;1;Amaro, Carolina;216921175
18;Loja Veradale;26;Fisica;1;Martins, Aline;550162476
20;Loja Englewood;33;Fisica;1;Blanquez, Mylena;622602258
21;Loja Wheat Ridge;47;Fisica;1;Santos, Audir;658086597
22;Loja Westminster;22;Fisica;2;Andrade, Lucas;398404937
23;Loja Grand Junction;17;Fisica;1;Wassem, atila;283231970
24;Loja New Castle;25;Fisica;1;Alves, Vinicius;496323922
25;Loja Greeley No.1;25;Fisica;1;Cordeiro, Lucas;391200910
26;Loja Loveland;26;Fisica;1;Pretti, Cicero;517979422
27;Loja Lafayette;19;Fisica;1;Araújo, Juliana;958599604
28;Loja Castle Rock;33;Fisica;1;Cardozo, Vitor;383187294
30;Loja Fort Collins;22;Fisica;1;Magalhaes, Joao;710773314
31;Loja Greeley No.2;17;Fisica;1;Quintana, Mylena;703600407
32;Loja Milliken;25;Fisica;1;Conde, Jose;656196435
33;Loja Berthoud;26;Fisica;1;Rodrigues, Victor;725440447
34;Loja Denver No.1;26;Fisica;1;Cotta, Lucas;192837467
35;Loja Denver No.2;19;Fisica;1;Silveira, Paulo;126592536
36;Loja Denver No.3;33;Fisica;1;Goncalves, Amanda;137497733
37;Loja Boulder;47;Fisica;1;Grippe, Jessica;637536440
38;Loja Thornton;22;Fisica;1;Therezo, Joao;459664769
39;Loja Littleton;17;Fisica;1;Andrade, Patrick;820819434
40;Loja Aurora;25;Fisica;1;Porto, Joao;535707685
41;Loja Parker;26;Fisica;1;Rossini, Vitor;233971955
42;Loja Green Bay;19;Fisica;1;Faccin, Giuseppe;784596643
43;Loja Appleton;33;Fisica;1;Pires, Hanna;148808289
44;Loja Menasha;47;Fisica;1;Walter, Joao;350727716
45;Loja Oshkosh;22;Fisica;1;Ferreira, Jessica;472025954
46;Loja Fond du Lac;17;Fisica;1;Feliciano, Gil;431015240
47;Loja Milwaukee No.1;25;Fisica;1;Arruda, Jessica;632618369
49;Loja Milwaukee No.3;26;Fisica;1;Favoretto, Jessica;648342376
50;Loja Waukesha No.1;19;Fisica;1;Nohara, Lorena;749372644
51;Loja Racine No.1;33;Fisica;1;Simões, Aline;441540643
52;Loja Burlington;47;Fisica;1;Barbosa, Joao;442085397
53;Loja East Troy;22;Fisica;1;Lemos, Andre;248831332
54;Loja Waukesha No.2;17;Fisica;1;Oliveira, Poline;996214585
55;Loja Germantown;25;Fisica;1;Braun, Marcelo;676041953
